               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.014142,           0.0058654,                   0,             0.99727,                   1,               0.995,             0.85103,            0.012624,           0.0046761,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.014376,           0.0060146,                   0,             0.99812,             0.99954,               0.995,             0.84919,            0.012702,           0.0046364,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.014159,           0.0058166,                   0,             0.99961,                   1,               0.995,             0.85071,            0.012546,           0.0045717,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.014286,           0.0057662,                   0,             0.99955,                   1,               0.995,             0.85397,            0.012508,           0.0045477,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.014128,           0.0059344,                   0,              0.9997,                   1,               0.995,             0.85505,            0.012483,           0.0045297,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.014164,           0.0057917,                   0,             0.99979,                   1,               0.995,             0.85636,            0.012369,           0.0044759,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.013942,           0.0056788,                   0,             0.99737,                   1,               0.995,             0.85649,            0.012202,            0.004486,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.013753,            0.005722,                   0,             0.99916,                   1,               0.995,              0.8581,            0.012393,           0.0045207,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.013637,           0.0055972,                   0,             0.99744,                   1,               0.995,             0.85601,            0.012394,            0.004516,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.013641,           0.0057207,                   0,              0.9986,                   1,               0.995,             0.85713,            0.012172,           0.0044689,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.013798,           0.0055238,                   0,             0.99793,                   1,               0.995,             0.85826,            0.012092,           0.0044522,                   0,            0.000496,            0.000496,            0.000496
