               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11055,            0.023967,            0.034225,          8.0247e-06,           0.0038348,          4.2259e-06,          1.0666e-06,            0.079826,            0.024724,            0.026307,            0.070265,           0.0033038,           0.0033038
                   1,             0.10306,             0.02065,            0.029523,          2.1889e-05,           0.0079646,          1.4156e-05,          2.2408e-06,            0.080218,             0.02125,            0.024107,             0.03698,           0.0033518,           0.0033518
