               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1054,            0.029254,            0.036805,            0.029119,            0.052667,            0.013887,           0.0026373,            0.096661,            0.026286,            0.025637,             0.07015,           0.0033167,           0.0033167
                   1,            0.088753,            0.028404,            0.024742,             0.41763,             0.27133,             0.14054,            0.041889,            0.072742,            0.025415,            0.012902,            0.038504,           0.0050041,           0.0050041
                   2,            0.068261,            0.025832,           0.0083476,             0.43968,             0.66807,             0.54772,             0.21091,            0.055985,            0.022347,           0.0029967,           0.0052083,           0.0050416,           0.0050416
                   3,            0.051211,            0.022687,           0.0030574,             0.83088,             0.85971,             0.87802,             0.49892,            0.034499,             0.02005,           0.0012903,            0.002575,            0.002575,            0.002575
