               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019006,              0.0079,                   0,             0.99986,                   1,               0.995,             0.81226,            0.015015,           0.0062282,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019063,           0.0079695,                   0,             0.99985,                   1,               0.995,             0.80993,            0.015095,           0.0062557,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018378,            0.007429,                   0,             0.99985,                   1,               0.995,             0.81484,             0.01515,           0.0061713,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017923,            0.007393,                   0,             0.99987,                   1,               0.995,              0.8126,            0.014783,           0.0060491,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017639,           0.0076515,                   0,             0.99989,                   1,               0.995,             0.81458,            0.014797,           0.0060431,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017768,           0.0076716,                   0,             0.99986,                   1,               0.995,              0.8188,            0.014504,           0.0060529,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01754,            0.007125,                   0,             0.99988,                   1,               0.995,             0.82185,            0.014526,           0.0059856,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017557,            0.007483,                   0,             0.99988,                   1,               0.995,             0.82136,            0.014418,           0.0059446,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.017771,           0.0076436,                   0,             0.99988,                   1,               0.995,             0.81506,            0.014847,           0.0059959,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.017328,           0.0072894,                   0,             0.99986,                   1,               0.995,             0.81743,             0.01456,           0.0059722,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.016928,           0.0074002,                   0,             0.99984,                   1,               0.995,             0.81353,            0.014495,           0.0059458,                   0,            0.000496,            0.000496,            0.000496
