               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.016654,           0.0073093,                   0,             0.99983,                   1,               0.995,             0.84991,            0.013654,            0.005982,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.016871,           0.0075559,                   0,             0.99982,                   1,               0.995,             0.85846,             0.01276,           0.0057901,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.01661,           0.0076922,                   0,             0.99981,                   1,               0.995,             0.85385,            0.012721,           0.0056108,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016948,           0.0073845,                   0,             0.99979,                   1,               0.995,             0.85621,            0.012433,           0.0055987,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.016082,           0.0075358,                   0,             0.99981,                   1,               0.995,              0.8538,            0.012366,           0.0055418,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.015625,           0.0072882,                   0,             0.99977,                   1,               0.995,             0.85901,             0.01208,           0.0055401,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.014971,           0.0070408,                   0,             0.99978,                   1,               0.995,             0.86031,            0.011901,           0.0055113,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01499,            0.007388,                   0,             0.99977,                   1,               0.995,              0.8573,            0.011975,           0.0054943,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.014966,           0.0073625,                   0,             0.99977,                   1,               0.995,             0.85886,            0.012195,            0.005475,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.015138,           0.0073308,                   0,              0.9998,                   1,               0.995,              0.8627,             0.01175,           0.0054197,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014815,           0.0070469,                   0,             0.99979,                   1,               0.995,             0.86514,            0.011726,            0.005392,                   0,            0.000496,            0.000496,            0.000496
